tam_1,tam_2,tam_3,tam_4,tam_5,tam_6,tam_7,tam_8,tam_9,tam_10
9.6,-11,1,104.9,-2.2,1.6,0.9,3,13377802637.5502,26091212315.5068
9.6,-13,1,104.9,-2.4,2.7,1.1,3.2,13391262147.9276,26115369171.6802
9.6,-12,1,104.9,-0.8,4.3,1.3,3.4,13404314586.6728,26138538811.7493
9.95,-11,2.3,104.9,-0.8,4.1,1.2,3.5,13417367025.4179,26161708451.8184
10.3,-8,2.3,104.9,0,4.4,1.4,3.5,13430419464.163,26184878091.8875
12.8,-9,2.3,104.9,-2.8,-0.9,-0.5,3.6,13443471902.9082,26208047731.9566
15.3,-8,1.7,104.9,-3.6,0.9,1.3,3.6,13456524341.6533,26231217372.0257
16.3,-8,1.7,104.9,-3.1,-3.2,-1.8,3.5,13469576780.3984,26254387012.0948
17.3,-11,1.7,104.9,-3.6,-1.9,-1.6,3.3,13482629219.1436,26277556652.164
17.35,-13,2.3,104.9,-3.2,-2.1,0.9,3.4,13495681657.8887,26300726292.2331
17.4,-11,2.3,104.9,-4,-0.9,-1.4,3.3,13508734096.6338,26323895932.3022
18.05,-13,2.3,104.9,-2.9,0.3,-2,3,13521786535.379,26347065572.3713
18.7,-12,3,104.9,-3.1,0.3,-1.7,3.2,13534838974.1241,26370235212.4404
17.5,-14,3,104.9,-2.9,-1,-1.8,3.3,13547891412.8692,26393404852.5095
16.3,-9,3,104.9,-0.2,4.3,0.3,3.4,13560943851.6144,26416574492.5786
14.15,-10,1.3,104.9,-1.2,3.3,2.5,3.5,13573996290.3595,26439744132.6478
12,-8,1.3,104.9,2,3.7,1.4,3.3,13587048729.1046,26462913772.7169
11.15,-8,1.3,104.9,-2.3,3.2,1.1,3.4,13600101167.8498,26486083412.786
10.3,-7,1.3,104.9,-2.5,2.1,-0.2,3.6,13613153606.5949,26509253052.8551
9.55,-8,1.3,104.9,-4.1,0,-0.3,3.3,13626206045.34,26532422692.9242
8.8,-10,1.3,104.9,-1.7,2.8,1.2,3.6,13639258484.0852,26555592332.9933
9.3,-7,1.3,104.9,-2,3.2,2.1,3.9,13652310922.8303,26578761973.0624
9.8,-6,1.3,104.9,-2.4,2.9,-0.6,3.9,13665363361.5755,26601931613.1315
9.4,-7,1.3,104.9,-4.6,0.7,0,3.6,13678415800.3206,26625101253.2007
9,-12,1.7,103.5,-1.5,3.6,0,4.2,13691468239.0657,26648270893.2698
9.2,-10,1.7,103.5,-1.1,2.5,3,4.4,13693776010.1588,26653416876.5743
9.4,-7,1.7,103.5,-3.6,2.3,1,4.3,13694217336.6363,26655431989.9244
